File Number,First Name:Principal Author,Last Name:Principal Author,Institution of Principal Author:Principal Author,Co Authors: Ê:Principal Author,White Paper Title,White Paper Description (350 character limit),File Link Ê
44,Andrea,Donnellan,"Jet Propulsion Laboratory, California Institute of Technology","Margaret Glasscoe, Michael Abrams, John Rundle, Ram—n Arrowsmith, Yehuda Ben-Zion, Jay Goguen, Adnan Ansar, Michael Burl",Assessing Earthquake Hazard from Relationships between Fault Zone Morphology and Rupture Characteristics,Morphologic measurement of active fault zones improves assessment of earthquake potential. Space-based fixed-point observing recovers topography for global active faults with on-demand access. Geomorphic metrics computed from surface morphology and simulations allow scientists to compute relations between earthquake size and shaking hazard.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-164e437193557a129f3cabd43927123d_NASA-DS-RFI-Topov2.pdf
45,Arlindo,da Silva,ACE Science Study Team and NASA Goddard Space Flight Center,"Michael Behrenfeld, Richard Ferrare, Gerald Mace,Robert Swap, Ralph Kahn, Lazaros Oreopulos, David Winker, Ali Omar, Maria Tzortziou",The Interdisciplinary Science of the Aerosol-Cloud-Ecosystem (ACE) Mission,"One of the most pressing contemporary Earth System Science questions is: how will life on Earth respond to climate change? Recognizing the overlaps in ocean ecosystem and atmospheric sciences, in 2007 the NRC DS recommended the ACE mission. This paper articulates the ACE vision of interconnected Aerosol/Cloud/Ocean Ecosystems science questions.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-b7c4aac28d3aaff0b00129c0c5437843_ACE_Interdisciplinary_RFI_response.pdf
46,Dmitry,Dukhovskoy,Florida State University,Mark Bourassa,"Changing Arctic Climate System:  Causes, Consequences, and Relationship to the Global Climate",Of essential importance to our understanding of the changing Arctic system is to discern causes and consequences of these changes and their linkages to the global climate change.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/183-51611ddf97c8784e35b676fc7240f715_DukhovskoyDmitryS.pdf
47,Robert,Wright,University of Hawaii at Manoa,"Mike Abrams, Fabrizia Buongiorno, Sonia Calvari, Chad Deering, Andrew. Harris, Simon Hook, Bernard Hubbard, Clive Oppenheimer, Matt Patrick, Fred Prata, Steve Self, Lionel Wilson, Dave Pieri, Mike Ramsey, Vince Realmuto, Dave Rothery, Florian Schwandner, Peter Webley.","PREDICTING CHANGES IN THE BEHAVIOR OF ERUPTING VOLCANOES, TO REDUCE THE UNCERTAINTIES ASSOCIATED WITH THEIR IMPACT ON SOCIETY AND THE ENVIRONMENT","Satellite observations allow us to characterize the complexity of terrestrial volcanism on global scales. Improvements in the spatial, spectral, and temporal resolution of space-borne instruments will enable improved forecasts of when eruptions begin and end, and how volcanic hazards impact lives at global, regional, and local scales.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-b82128739339f24cdfefc5f759de1e19_WrightRobert.pdf
48,Tristan,L'Ecuyer,University of Wisconsin-Madison,Steven Ackerman,Constraining Atmospheric Ice Processes with Coincident Measurements of Ice Mass and Cloud Vertical Motion,"Recent advances in active and passive satellite instrumentation have positioned NASA to advance the frontier of climate predictability by fostering the development of advanced cloud parameterizations through simultaneous measurement of cloud dynamics, ice content, and precipitation yield.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-105b451416702c8773fcec6ad2c6523e_Lecuyer_Ackerman_IceMassFlux.pdf
49,Kenneth,Pickering,NASA Goddard Space Flight Center,"Anne Thompson, Bryan Duncan, Mian Chin, Peter Colarco, Russell Dickerson, Paulo Artaxo, Christine Wiedinmyer",Air Quality in Tropical and Subtropical Megacities,"The paper recommends air quality monitoring over major population centers of the tropics and subtropics by geostationary satellite such that emission sources, the diurnal evolution of pollutants, and transport in this rapidly growing and developing region  can be better understood and air quality alerts can be issued.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-7d0cfdce497c66739b24fa562903e32e_PickeringKennethE.docx
50,Bjorn,Lambrigtsen,"Jet Propulsion Laboratory, California Institute of Technology","Ali Behrangi, Eric Fetzer, Svetla Hristova-Veleva, Brian Kahn, Hui Su, Baijun Tian, Joe Turk",Severe Convective Storms,"There is an urgent need to address severe convective storms, which requires new satellite observations, particularly from GEO, that will lead to better understanding and improved modeling of convective processes and their interactions with the environment  on multiple scales, leading to improved prediction of explosive intensification in particular",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-82167c607889c7a14512ddfbea1e9d73_LambrigtsenBjornH.pdf
51,Peter,Colarco,NASA Goddard Space Flight Center,"Matt DeLand, Nick Gorkavyi, Matt Kowalewski, Valentina Aquila",Small Satellite Constellation for Global Aerosol Monitoring of the Stratosphere (GAMS),"We discuss the scientific rationale for measurement and monitoring of aerosols in the upper troposphere and lower stratosphere, and present a simple, low-cost measurement concept.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-d598bd398e248cd946c3e89d7b670e94_ColarcoPeterR.docx
52,Quentin,Errera,Belgian Institute for Space Aeronomy,"Krzysztof Wargan, Michiel van Weele, Richard MŽnard, the SPARC Data Assimilation Working Group",A satellite limb sounder to monitor dynamical and chemical changes in the stratosphere,"A limb sounder instrument is request to NASA, motivated by the lack of plan of such instrument and their capability to provide profiles with high vertical resolution of stratospheric constituents, aerosol extinctions and temperature. These measures are necessary to monitor the stratospheric change and for meteorological and air-quality forecasts.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-1420c928a06a69d9a7d77b67723bc5df_QuentinErrera.pdf
53,Eric,Rignot,University of California Irvine,"Ian Joughin, Mark Fahnestock",Understanding and quantifying glacier ice dynamics for improved sea level projections,"We need continuous measurements of ice flow dynamics to observe seasonal speed up and slow down of glaciers, large iceberg calving events, and accelerating ice discharge along with other measurements (ocean temperature, sea floor bathymetry, ice sheet basal topography) to improve the reliability of sea level projections from melting land ice.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-a2febe6fa78e42027cdf93efa3c9e6a0_RignotEricJ.pdf
54,Bhaskar,Ramachandran,NASA Goddard Space Flight Center,,"ESS as a data-intensive knowledge domain, and the relevance of a Linked Data methodological framework to facilitate its data handling functions","This paper focuses on the need to address an intelligent approach to handle Earth System ScienceÕs domain data via an informatics-based methodology called Linked Data, which creates and publishes machine-readable, semantically enabled structured data that are shareable, queryable, and reusable across applications.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-53be7dac29dcd18d3dccbedfebedbc92_RamachandranBhaskar.pdf
55,Daniel,Feldman,Lawrence Berkeley National Laboratory,"William Collins, Bruce Wielicki, Jonathan Jiang, Isaac Moradi, Nikki Prive","A rigorous, independent observing system simulation experiment capability to establish the science value of future satellite missions","In the next decade, it will be critical to develop observing system simulation experiments to estimate the science value of new observations. This capability should be formal, independent and intramural, building off established techniques while recognizing the challenges of such simulation for novel measurements.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-7297f39e2e7a9d74c41df54c5402d4c2_FeldmanDanielR.pdf
56,Martin,Mlynczak,NASA Langley Research Center,"Bruce A. Wielicki, Judith Lean, William D. Collins, Taumi S. Daniels, David P. Kratz, Yolanda L. Shea, Eric Rignot, Peter Pilewskie, Greg Kopp, Patrick C. Taylor, John P. Leckey, David G. Johnson, James J. Butler, Xiaoxiong Xiong",Establishment of Space-Based Climate Change Measurement  as a Prime Objective for Earth System Science,We describe the imperative for accurate measurement of climate change from space as a crucial objective of Earth System Science in the 2017 Decadal Survey (DS). Existing observations do not meet climate accuracy. We advocate appointment of a Panel as part of the DS to develop a strategy to promptly initiate measurement of climate change from space.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-b2d7c3afce31cae2a43a67e41d158be9_MlynczakMartinG.pdf
57,Anthony,Mannucci,"Jet Propulsion Laboratory, California Institute of Technology","Clara Chew, Joe Turk","Measuring, Monitoring and Understanding Earth&rsquo;s Global Energy Balance","Earth&rsquo;s global energy balance is sufficiently well understood to provide an excellent framework for science. Further progress requires a rigorous understanding of uncertainties associated global observations. A broad remote sensing portfolio, including new emission sources and mission scenarios, is enabling.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-fc074cc0960edf8a5d8f1a7d8b0ee738_MannucciEarthScienceDS2015WhitePaperV5.pdf
58,Ron,Kwok,"Jet Propulsion Laboratory, California Institute of Technology","J. Comiso, T. Markus, A. Schweiger, M. Serreze, J. Stroeve",Observing the Arctic Ocean Sea Ice Cover: 2017-2027,"Arctic sea ice coverage and thickness are in rapid decline. Improved observations and models are requisite for addressing the economic, scientific, and environmental needs of a broad and diverse community. We advocate the sustained and coordinated monitoring of four essential sea ice variables to meet the key challenges in the coming decade.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/245-42f5de29608326e0eccdcfd24f1c32be_KwokRon.pdf
59,Amy,Thomas,Battelle,,1. Input to NRC Decadal Survey from NASA SERVIR Eastern and Southern Africa Hub Region,"1. To provide input to the committee and panels that will conduct the Decadal Survey, a group of remote sensing scientists in a broad range of research areas was canvassed during September-October 2015 using online data collection tools. This paper presents input from 12 respondents in the Eastern and Southern Africa NASA SERVIR hub region.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-3c824bd9a69c261d8b0eb7fbfb8868e3_ThomasAmyE1.pdf.pdf
60,Amy,Thomas,Battelle,,2. Input to NRC Decadal Survey from NASA SERVIR Himalaya Hub Region,"To provide input to the committee and panels that will conduct the Decadal Survey, a group of remote sensing scientists in a broad range of research areas was canvassed during September-October 2015 using online data collection tools. This paper presents input from 8 respondents in the Himalaya NASA SERVIR hub region.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-932b19271d337e0eee4bc4dc61b9528b_ThomasAmyE2.pdf.pdf
61,Amy,Thomas,Battelle,,3. Input to NRC Decadal Survey from NASA SERVIR Lower Mekong Hub Region,"To provide input to the committee and panels that will conduct the Decadal Survey, a group of remote sensing scientists in a broad range of research areas was canvassed during September-October 2015 using online data collection tools. This paper presents input from 10 respondents in the Lower Mekong NASA SERVIR hub region.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-7fd52d21c89d301b488dd5568f762de7_ThomasAmyE3.pdf.pdf
62,Amy,Thomas,Battelle,,4. Input to NRC Decadal Survey from NASA SERVIR Central America Hub Region,"To provide input to the committee and panels that will conduct the Decadal Survey, a group of remote sensing scientists in a broad range of research areas was canvassed during September-October 2015 using online data collection tools. This paper presents input from 14 respondents in the Central America NASA SERVIR hub region.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-8e13560294412506be242e0e50f4fe0d_ThomasAmyE4.pdf.pdf
63,Michael,Kavaya,NASA Langley Research Center,"Upendra Singh, David Emmitt, T.N. Krishnamurti",Reducing NASAs Cost And Risk For An Earth-Orbiting Hybrid Doppler Wind Lidar System That Will Provide Vertical Profiles of Horizontal Vector Wind,"We discuss a global winds mission using a hybrid Doppler lidar that covers the atmosphere vertically using both 0.355 and 2 micron lidars. NASA has been funding this technology and much progress has been made in the last decade. An option to reduce NASAs cost would be a US-ESA partnership to provide the 2 and 0.355 micron lidars, respectively.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/245-bcc626782f3a0b0bab5eb1b0a34e2af4_KavayaMichaelJ.pdf
64,Patrick,Taylor,NASA Langley Research Center,"Chris Hostetler, Richard Ferrare, Linette Boisvert, Kuan-man Xu, William Smith Jr., Yong Hu, Robyn Boeke, Seiji Kato, Bradley Hegyi","A sea ice, low cloud, and aerosol centric perspective on rapid Arctic climate change",The Arctic is undergoing rapid climate change altering natural and human systems globally. A key science question is how will Arctic cloud and aerosol respond to and interact with Arctic sea ice loss. The rapid nature of Arctic climate change makes this  question and the need for continued and improved satellite measurements extremely timely.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-08d02050bad331320eb75bc1e6561e61_TaylorPatrickC.docx
65,Peter,Pilewskie,"University of Colorado, Laboratory for Atmospheric and Space Physics","Greg Kopp, Erik Richard, Tom Sparn, Tom Woods, Judith Lean, Bruce Wielicki, Dong Wu, Doug Rabin, William Denig",Continuing the Total and Spectral Solar Irradiance Data Record,"We summarize the challenges facing continuity of the solar irradiance data record, describe existing and planned capabilities and links to other observations, and list the communities that are impacted. We recommend that a small satellite approach for solar irradiance data continuity be given high priority in the new Decadal Survey.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-2cfbd6e7d51e56cdce8650ea8a7b6b08_PilewskiePeterA.pdf
66,Richard,Ferrare,NASA Langley Research Center,"Arlindo da Silva, Gerald Mace, Michael Behrenfeld, Jeff Reid, Ralph Kahn, Peter Colarco, Robert Levy, Brian Cairns, Susanne Bauer, Olga V. Kalashnikova, Michael Garay, David J. Diner, Chris Hostetler, David Winker",Characterizing Aerosol Processes and Properties for Reducing Uncertainties in Aerosol Radiative Forcing,Global satellite aerosol measurements are needed to better understand shortwave radiative transfer and reduce climate change prediction uncertainties. The fundamental science and observational requirements are being pursued by the NASA Aerosol-Cloud-Ecosystems mission recommended by the 2007 Decadal Survey and endorsed by a recent NASA workshop.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-6e3b96c1b7a2cadcd0c5681164122a20_FerrareRichardA.pdf
67,Robert,Levy,NASA-GSFC,Lorraine Remer J. Vanderlei Martins,The Need for a National Earth Science Micro-Satellite Program,"The current Earth Science program large flagship missions, combined with Earth Venture missions, instruments and sub-orbital programs is essential.   However, we suggest  to add a &ldquo;Micro&rdquo; Satellite program, in which there is programmatic support for an infrastructure of common mission operations, downlink and data processing.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-90fd5d6e8cc331a6c2a4c7da3c8d1a57_LevyRobertC.docx
68,Qilong,Min,State University of New York at Albany,"Bing Lin, Yongxiang Hu,  Sundararaman G Gopalakrishnan, Ping Zhu, Roland Lawrence, and Steven Harrah",Sea surface air pressure measurements for reliable longer-term storm track and intensification predictions,"Improved weather forecasts, especially storm track and intensification predictions of hurricanes are important not only to earth sciences but also to public safety and national security. Sea surface pressure measurements are pone of key challenges for Earth Science, particularly for reliable longer-term storm track and intensification predictions",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-c8d7dc969bbc2d69196f05c3f2cfba81_MinQilong.pdf
69,Stephen,Leroy,Harvard University,James G. Anderson,A Quantitative and Objective Capability for Designing and Evaluating Earth Observing Missions,The climate research community requires an objective and quantitative capability to design climate observing systems and establish their requirements so as to maximize scientific value in a cost-effective way. The tool should be a &ldquo;climate OSSE&rdquo; and should be based in standard methods of Bayesian uncertainty quantification.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-cb795cef96fee0d893028302397b0cdd_LeroyStephenS.pdf
70,Anastasia,Romanou,Columbia University and NASA-Goddard Institute for Space Studies,"Dave Schimel (NASA-JPL), Paula Bontempi (NASA-HQ), Frank Muller-Karger (USF), Maria Tzortziou (CCNY), Mike Behrenfeld (Oregon State), Heidi Dierssen (UConn), Antonio Mannino (NASA-GSFC), John Dunne (GFDL-NOAA), Matthew Long (UCAR), Cecile Rousseaux (GSFC/USRA), Paty Matrai (Bigelow), Raymond Najjar (PSU), Dave Siegel (UCSB), Anthony Freeman (NASA-JPL), Galen McKinley (U. Wisc.), Jorge Sarmiento (Princeton), Scott Doney(WHOI)",Ocean Biology and Biogeochemistry community initial input towards the next Decadal Survey,The Ocean Biology and Biogeochemistry community&#039;s observational needs for the upcoming decade.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-1e949bab4f632408b09c742e314bddc6_RomanouAnastasia.pdf
71,Anne,Douglass,NASA Goddard Space Flight Center,"Charles Jackman, Randy Kawa, Paul Newman, Luke Oman, Jose Rodriguez",Stratospheric Composition,"Describes the rationale for on-going stratospheric measurements, focusing on the anticipated response of stratospheric ozone to anthropogenic changes in composition (both chlorofluorocarbons and greenhouse gases) that are expected in the coming century.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/245-14d35a4e4dd1a1956063aca8c8202331_Douglass.Anne.R.pdf
72,Amy,Thomas,Battelle,,5. Input to NRC Decadal Survey from a Broad Audience of Remote Sensing Scientists &ndash; General Issues,"To provide input to the committee and panels that will conduct the Decadal Survey, a group of remote sensing scientists in a broad range of research areas was canvassed during September-October 2015 using online data collection tools. This paper presents input on general issues from 53 respondents not-associated with a particular geographic region.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-391bbfcc87843f369ba084e9f52b5ed2_ThomasAmyE5.pdf.pdf
73,Amy,Thomas,Battelle,,"6. Input to NRC Decadal Survey from a Broad Audience of Remote Sensing Scientists &ndash; Water, Agriculture, and Food Themes","To provide input to the committee and panels that will conduct the Decadal Survey, a group of remote sensing scientists in a broad range of research areas was canvassed during September-October 2015 using online data collection tools. This paper presents input from respondents on water resources, agriculture, and food security.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-433a28f13fb0456f67bdb6054e2823ea_ThomasAmyE6.pdf.pdf
74,Amy,Thomas,Battelle,,7. Input to NRC Decadal Survey from a Broad Audience of Remote Sensing Scientists &ndash; Land-Ocean Themes,"To provide input to the committee and panels that will conduct the Decadal Survey, a group of remote sensing scientists in a broad range of research areas was canvassed during September-October 2015 using online data collection tools. This paper presents input from respondents on land and ocean thematic areas.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-edde6c5e82e9add0e996a0d54bc7856a_ThomasAmyE7.pdf.pdf
75,Amy,Thomas,Battelle,,8. Input to NRC Decadal Survey from a Broad Audience of Remote Sensing Scientists &ndash; Air Quality-Fire Themes,"To provide input to the committee and panels that will conduct the Decadal Survey, a group of remote sensing scientists in a broad range of research areas was canvassed during September-October 2015 using online data collection tools. This paper presents input from respondents relevant to air quality, atmosphere and fires.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-55cd1572684276a50213dbaead1325d4_ThomasAmyE8.pdf.pdf
76,Jessica,Neu,"Jet Propulsion Laboratory, California Institute of Technology","Daniel Jacob, Vivienne Payne, GEO-CAPE Atmospheric Science Working Group",The Future of Air Quality in the Developing World,"Much of the world is undergoing rapid industrialization and population growth, leading to serious air quality problems.   New high spatiotemporal resolution satellite measurements are needed to quantify, understand, and predict formation of ozone and aerosols and to monitor changes in air quality associated with urbanization as societies develop.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-3249971f0ebddee7eff7d4ad3e3726fa_NeuJessicaL.pdf
77,Ralph,Milliff,"CIRES, University of Colorado","Dudley B. Chelton, Ziad S. Haddad, Robert A. Houze Jr., David G. Long, Brian E. Mapes, Todd Pett, David A. Randall, Gail Skofronick-Jackson, Frank Wentz",Mesoscale Convective System Life-Cycle Stages in the Global Maritime Tropics,"A transformative set of simultaneous atmosphere-ocean observations will quantify global maritime tropical mesoscale convective system life-cycles such that fundamental processes are better understood, parameterizations  are enhanced and more accurate operational forecasts are provided to mitigate effectively ahead of ensuing natural hazards.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-1173f0e61850c5bffcfac85b9a4e215b_MilliffRalphF.docx
78,David,Tobin,University of Wisconsin-Madison,"Henry Revercomb, Bruce Wielicki",Infrared Radiance Intercalibration for Climate Quality Products and Benchmarking,"Many infrared satellite radiance and derived products can be greatly improved through intercalibration with observations from a potential mission/sensor aimed at providing radiance products with unprecedented accuracy, verified using on-orbit international standards.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-805436b3a79da6310e27e3d37b585ede_CLARREO+White+Paper+on+IR+Intercalibration-Tobin-29Oct15.docx
79,Francis J,Turk,"Jet Propulsion Laboratory, California Institute of Technology","Susan van den Heever, Svetla Hristova-Veleva, Jeff L. Steward",Improving the Representation of Cloud Scale Processes Through the Integration of Observations and Models,"Future space-based microwave observations that concurrently capture the fine-scale microphysical and dynamical time scales of the cloud-to-precipitation process, and the localized environmental conditions, are at the core of improvements to cloud resolving models.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-03ee1ce8984c470e98c5743c16739eaa_TurkFrancisJ.pdf
80,Sheekela,Baker-Yeboah,University of Maryland,"Tim Boyer, Lynn K. Shay, Eileen M. Maturi, David Donahue",Sea Surface Temperature and Ocean Heat Content from Space,"Ocean Heat Content (OHC) can be estimated using satellite and in situ measures of temperature and sea surface height. While space borne measures  yield abundant spatial coverage, in situ measures  are more dominantly used given their vertical extent. A comparison of both methods is needed to improve our assessment of OHC.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/183-d7ba2eb162991830fe53769ec3ed47bf_BakerYeboahSheekela.docx
81,Gail,Skofronick-Jackson,NASA Goddard Space Flight Center,"Gail Skofronick Jackson, Graeme Stephens, Christian Kummerow, Jay Mace, Arlindo da Silva and attendees of Cloud and Precipitation Process workshops (URL http://pmm.nasa.gov/CAPPM)",Addressing Earth Science Challenges in Cloud and Precipitation Processes to Inform Climate Models,"Water is necessary for life on Earth, thus knowing where, when and how clouds form, and whether they precipitate or not, is vital for all civilization. We must assess the underlying cloud processes globally and locally that produce precipitation to inform and improve the next generation of climate and numerical weather prediction models.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-7e5e51547325ffeffad7dc22c8085b82_SkofronickJacksonGail.docx
82,Kenneth,Pickering,NASA Goddard Space Flight Center,"Anne Thompson, Bryan Duncan, Mian Chin, Peter Colarco, Russell Dickerson, Paulo Artaxo, Christine Wiedinmyer",Air Quality in Tropical and Subtropical Megacities,"The paper recommends air quality monitoring over major population centers of the tropics and subtropics by geostationary satellite such that emission sources, the diurnal evolution of pollutants, and transport in this rapidly growing and developing region can be better understood and air quality alerts can be issued.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-ae945e48f861d05b01754b2ece79a4ba_PickeringKenneth.docx
83,Mian,Chin,NASA Goddard Space Flight Center,"Shobha Kongragunta, Hongbin Yu, Lazaros Oreopoulos, Lorraine Remer, Alexei Lyapustin, Hiren Jethva, Omar Torres, Jun Wang, Patricia Castellanos, Charles Gatebe, and Robert Chatfield, on behalf of the GEO-CAPE Atmospheric Science Working Group",Understanding aerosol-cloud interaction processes with high spatiotemporal resolution observations from space,We recommend a strategy for making significant progress in understanding aerosol-cloud interactions and their environmental effects. It focuses on cloud regimes regionally with an integrated observing system that includes high spatiotemporal resolution observations from space complemented by arrays of ground-based networks and in-situ measurements.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/183-7235151d34cfda40ce56eaffc96ed535_ChinMian.pdf
84,Eileen,Maturi,NOAA/NESDIS,"Eileen Maturi, Lynne Shay, Jodi Brewster, Benjamin Jaimes, John Lillibridge, Laury Miller, David Donahue",Spaced-Based Measurement and Evaluation of Sea Surface Temperatures and Oceanic Heat Content Variability NRC Decadal Survey Response,"The sea surface is a critical link that couples oceanic and atmospheric processes for both weather and climate studies affect. We seek to build a global, evaluated Ocean Heat Content suite of products  based on future altimetry missions.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-d0162801b467e1bdcb3e4909cc1c7fec_Maturieileenm.docx
85,Nicholas,Meskhidze,North Carolina State University,"Susannah M. Burrows, Mike Behrenfeld, Sarah D. Brooks, Doug Collins, Paul DeMott, Brett Gantt, Santiago Gass_assandra Gaston, Greg McFarquhar, Richard Ferrare, Chris Hostetler, Yong Hu, Matt Johnson, Damien Josset, Ernie Lewis, Rich Moore, Thanos Nenes, Phil Rasch, Lynn Russell, Sasha Smirnov, Kostas Tsigaridis, Patricia Quinn, Rob Wood",Marine aerosol-cloud-climate interactions,"Narrowing the gap in the current understanding of anthropogenic contribution to a changing climate requires development of new space-based measurement capabilities to provide high-resolution, vertically-resolved retrievals of aerosols and ocean sub-surface, concurrently with ocean biological parameters, linked to field/lab experiments and modeling.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/245-c89443a7fe00246515e9bcd9c5009604_Marine+aerosol-cloud-climate+interactions.pdf
86,Huai-Min,Zhang,NOAA National Centers for Environmental Information,John J. Bates,The Aspects of Integration of the Satellite platforms as well as including In-Situ Platforms for Global Gridded Products of Various Resolutions,The scope of this paper is in the aspects of the integration of observations from various satellite platforms as well as integration of satellite and in-situ platforms for practical global gridded and blended production for supported highest resolutions and accuracy as possible.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-04e6b6706a232a2a23cace4091c8d64e_ZhangHuaiMin.pdf
87,Carl,Mears,Remote Sensing Systems,"Frank J. Wentz, William Blackwell, Philip W. Rosenkranz, Benjamin D. Santer",Maintaining and Improving Upper Air Temperature Records,"We describe the current uncertainties in satellite-derived upper air temperature datasets.  We then briefly outline a mission to resolve these issues, improving the estimates of atmospheric temperature change from late 1978 onward.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-9b6735e80378d0f63f7c348f04b35d8f_MearsCarlA.pdf
88,Dudley,Chelton,Oregon State University,"J. T. Farrar (WHOI), R. M. Samelson (CEOAS)",Wind-driven Near-surface Vertical Motion in the Ocean,Systematic global observations are needed to understand the ocean&rsquo;s near-surface vertical motion from the large scale through the mesoscale and into the submesoscale. Suitable estimates of vertical motion can be obtained using Doppler scatterometer measurements of  surface wind stress and surface ocean horizontal current.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-be2fcd40a9f47981ad7ac11eb7a03615_CheltonDudleyB.pdf
89,R. Michael,Hardesty,CIRES/University of Colorado and NOAA,"Robert Atlas, Wayman Baker, David Emmitt, Ron Gelaro, Bruce Gentry, Rolf Langland, John Pereira, Oliver Reitebuch, Lars Peter Riishojgaard, Vijay Tallapragada, Sara Tucker, Carl Weimer",Doppler Wind Lidar (DWL) Technology is Ready to be Demonstrated in Space,"This white paper briefly highlights the key science advances expected with a space-based Doppler Wind Lidar (DWL), the DWL technology advances achieved since the previous Decadal Survey, and why only a space-based DWL can address some key Earth Science challenges and questions.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-03d5d0ee9051865a1f28d84ac051dda3_Hardesty+RMichael.pdf
90,Matthew,Sturm,University of Alaska Fairbanks,"Jessica Lundquist, Alex Langlois, Andrew Slater, Michael Durand, Thomas Painter, Chris Derksen, Glen Liston, Martyn Clark, Simon Yueh, Jeff Deems",The Need for Improved Understanding and Remote Sensing of Snow Depth and Snow Water Equivalent,"Snow is critically important to human welfare, affecting security, economics and climate. We currently lack effective means for accurately tracking snow, but recent developments in 4 areas, if integrated into a seamless system, could deliver snow depth and snow water equivalent data at local to global scales, benefiting billions of people.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-bbcfe23790065fd85e96b6ad52c28b1b_SturmMatthew.docx
